,Date,Nasdaq,Res,SqRes,CondV,Spline,st
"21-1",1984-11-09,0,-0.04836501455430732,0.0023391746328383588,0.22944546610335576,0.3319759090675688,0.69115095353697942
"22-1",1984-11-12,-0.080192466206074897,-0.15294018562592837,0.023390700379293427,0.20185793558750517,0.33229021134850528,0.60747481777546852
"23-1",1984-11-13,-0.60350213344708692,-0.65997842313321553,0.43557151900140567,0.18404921154968359,0.33260462107656436,0.55335734949790771
"24-1",1984-11-14,-0.32336325670643262,-0.27365754598357495,0.074888452473752434,0.23525664737585808,0.3329191379937978,0.70664801306868952
"25-1",1984-11-15,-0.40568006956149816,-0.41281585859818842,0.17041693311015949,0.21779569774880939,0.33323376184182951,0.65358232774801139
"26-1",1984-11-16,-0.36652453982952693,-0.35695785917494449,0.12741891322675949,0.21946296866627077,0.33354849236185558,0.65796420518124465
"27-1",1984-11-19,-0.90164545259403539,-0.90002361365417594,0.81004250513512133,0.21400179161530988,0.33386332929464446,0.64098621453105697
"28-1",1984-11-20,0.12343140838853017,0.23363180517843868,0.054583820390935928,0.317210956903488,0.33417827238053754,0.94922675446197646
"29-1",1984-11-21,-0.082270675146389749,-0.18006320966605022,0.032422759475239961,0.27751129408737685,0.33449332135944898,0.82964674140432593
"30-1",1984-11-23,0.94205079238953715,0.8859961811021928,0.78498923292766964,0.2436225586231299,0.33480847597086577,0.72764752420523948
"31-1",1984-11-26,-0.16319873063217472,-0.42709300033488995,0.18240843093505832,0.33604509396302346,0.33512373595384853,1.0027493069285365
"32-1",1984-11-27,2.976889168889052,2.9372552418707265,8.6274683558970597,0.31212455748997231,0.33543910104703101,0.93049545063683603
"33-1",1984-11-28,-0.63618504827651634,-1.3129576247470367,1.7238577243813804,1.6221441880679424,0.33575457098862066,4.8313391037137059
"34-1",1984-11-29,-2.914006264160296,-2.857669035823629,8.1662723183051487,1.5403361201516976,0.33607014551639897,4.5833768357639935
"35-1",1984-11-30,-0.45276883274851798,0.065749066837201386,0.0043229397899627754,2.4909897036895785,0.33638582436772119,7.4051565887822477
"36-1",1984-12-03,-0.62073445743333622,-0.60161324456775211,0.36193849603933792,1.9358272685909852,0.33670160727951698,5.7493852917189505
"37-1",1984-12-04,-0.041519618616003839,0.011682611944147464,0.000136483421837537,1.5666063485909372,0.33701749398829023,4.6484422219499661
"38-1",1984-12-05,-0.87591800898811911,-0.94024120190513027,0.88405351776000396,1.2267397707124346,0.33733348423011972,3.6365787212383163
"39-1",1984-12-06,0.083752098697953414,0.18873227580056262,0.035619871928859632,1.1053109214370695,0.33764957774065896,3.2735445097640072
"40-1",1984-12-07,0.16729405825639532,0.077552642876203573,0.0060144124170839692,0.87881789046977088,0.33796577425513646,2.6003162373664956
"41-1",1984-12-10,4.4542603118483015,4.3475678387305949,18.901346112364617,0.70059430011718649,0.33828207350835604,2.0710358454743267
"42-1",1984-12-11,-4.6634216514363835,-5.6399598029114193,31.809146578456616,3.5360662997071977,0.33859847523469699,10.443243423515714
"43-1",1984-12-12,-0.1257071190051029,0.74777541623617316,0.55916807312718197,7.7395393225365483,0.33891497916811431,22.836226777387292
"44-1",1984-12-13,-0.16785568355794922,-0.21509683545730449,0.046266648623746721,6.0459196792846592,0.33923158504213885,17.822396103044603
"45-1",1984-12-14,0.37727984386943803,0.33859083457081812,0.11464375325536312,4.6672301172274002,0.33954829258987751,13.745408883162023
"46-1",1984-12-17,-0.20942416031148881,-0.35872374002326585,0.12868272165627961,3.6213420428171066,0.3398651015440135,10.655233580515569
"47-1",1984-12-18,1.9925939461081121,1.9623393768589488,3.8507758299711674,2.8219762490192881,0.34018201163680667,8.2954893336104867
"48-1",1984-12-19,0.85942824873335155,0.38237381677735749,0.14620973575688415,2.7947897181320411,0.34049902260009351,8.2079228797506492
"49-1",1984-12-20,-0.36742233618838327,-0.61455210197786936,0.37767428604541753,2.1912878764794148,0.34081613416528767,6.4295309312342965
"50-1",1984-12-21,0.1226241723244037,0.1244281783811938,0.015482371575262183,1.7651789361268355,0.34113334606337969,5.1744543783148078
"51-1",1984-12-24,0.40766464937638247,0.31003590686259708,0.096122263544112962,1.3816531569878352,0.34145065802493774,4.0464211285453917
"52-1",1984-12-26,0.32493935983088917,0.16947455972909886,0.028721626395371899,1.1004171400099971,0.3417680697801076,3.219777496235976
"53-1",1984-12-27,-0.48780584534329208,-0.62648529390616725,0.39248382348069677,0.87429364644934315,0.3420855810586127,2.5557746214960821
"54-1",1984-12-28,0.20354169453362658,0.22977208255602,0.052795209922130472,0.75822701713714014,0.34240319158975485,2.2144274228775247
"55-1",1984-12-31,0.48681637724170557,0.37276908771041056,0.13895679275245176,0.61586580142843017,0.34272090110241393,1.7969893270220874
"56-1",1985-01-02,-0.48681637724170557,-0.65834143635777653,0.43341344682562033,0.52033336339568459,0.34303870932504865,1.5168357076070946
"57-1",1985-01-03,0.20312824372172855,0.22915786399809263,0.052513326632168317,0.49345407162882582,0.34335661598569606,1.4371474107532056
"58-1",1985-01-04,-0.121827426235388,-0.23579082464632686,0.055597312987394863,0.41296629417263753,0.34367462081197264,1.2016199892705344
"59-1",1985-01-07,-0.081300817486340549,-0.1293291773526965,0.016726036114725226,0.35178814335250469,0.3439927235310738,1.0226615834817991
"60-1",1985-01-08,0.040658671021542858,-0.015592728960722765,0.00024313319644256244,0.29881030155064392,0.34431092386977452,0.86785019247213935
"61-1",1985-01-09,0.52706385950083146,0.44606630390692159,0.19897514748118214,0.2556388373990286,0.3446292215544296,0.74177934258152811
"62-1",1985-01-10,1.3654830636876447,1.1857916005373617,1.4061017199049579,0.25383396605238573,0.34494761631097348,0.73586235720948434
"63-1",1985-01-11,0.59654183665722726,0.24673116139450019,0.060876266003078897,0.44234158083592801,0.34526610786492123,1.2811613151702272
"64-1",1985-01-14,1.299998611293951,1.1062097387880745,1.2236999861895801,0.37525412130582297,0.34558469594136787,1.0858528335105697
"65-1",1985-01-15,0.89616808613284249,0.55964451521028247,0.31320198340495209,0.50675937657081749,0.34590338026498935,1.4650315824684907
"66-1",1985-01-16,0.92664755733178339,0.67206310519884371,0.45166881736951209,0.4643615978174212,0.34622216056004246,1.3412243660725778
"67-1",1985-01-17,0.38358313238706643,0.12281425174858357,0.015083340432564462,0.45367065085342617,0.34654103655036511,1.3091397641372589
"68-1",1985-01-18,0.72477906439711859,0.57420051770679248,0.32970623453474851,0.37683184851234397,0.34686000795937666,1.0864090407230733
"69-1",1985-01-21,1.2464750619987086,1.0266662509732303,1.0540435908874279,0.3674519267872568,0.34717907451007818,1.0583930707972151
"70-1",1985-01-22,0.74794664312927139,0.42228325287778695,0.17832314566104496,0.4742165089722149,0.3474982359250523,1.364658752036062
"71-1",1985-01-23,0.85327915227288997,0.62876953022020055,0.39535112213333168,0.41832732445812054,0.34781749192646422,1.2027207779031526
"72-1",1985-01-24,0.58932030594585072,0.34343822083905101,0.11794981153309277,0.40965310500772545,0.34813684223606123,1.176701386663213
"73-1",1985-01-25,0.6223706708356147,0.43004708098157907,0.18494049186077682,0.35939784256174134,0.3484562865751733,1.0314000820421634
"74-1",1985-01-28,0.36429912785012064,0.16526946303143913,0.027313995410700228,0.33144269167575763,0.34877582466471357,0.95030294027512174
"75-1",1985-01-29,0.4354143308620273,0.28874859967236688,0.083375753812752793,0.28524937072989287,0.3490954562251779,0.81710994985250618
"76-1",1985-01-30,0.86518203705132635,0.7040866956557118,0.49573807499937894,0.25868846181909011,0.34941518097664592,0.74034694513281674
"77-1",1985-01-31,0.035887314219706923,-0.21240992236532824,0.045117975119244771,0.30321547032372748,0.34973499863878077,0.86698635110551125
"78-1",1985-02-01,-0.10770060276374949,-0.18773002755175427,0.035242563244582421,0.26648956385382994,0.35005490893082941,0.76127932234336437
"79-1",1985-02-04,0.85837436913909215,0.80747961014131653,0.65202332079397252,0.23681365017641987,0.35037491157162326,0.67588643580152763
"80-1",1985-02-05,0.63897980987714931,0.39206388122944336,0.15371408696469507,0.31110548328596382,0.350695006279578,0.88711124400199481
"81-1",1985-02-06,0.67007833159582475,0.46767859410526025,0.21872326738427278,0.28969091563588928,0.35101519277269405,0.82529452172027107
"82-1",1985-02-07,0.90973335606330252,0.70102358179611857,0.49143406223425934,0.28352815846667245,0.35133547076855692,0.80700123402412538
"83-1",1985-02-08,0.45178182837757319,0.19444491897607563,0.037808826515612619,0.32172315461030165,0.35165583998433725,0.91488073857846697
"84-1",1985-02-11,-0.34734317658697833,-0.51175956044881088,0.26189784771076013,0.27967182050616096,0.3519763001367911,0.79457571546001837
"85-1",1985-02-12,-0.27874582508529144,-0.28101597524321265,0.078969978341893898,0.28271390632858778,0.35229685094226071,0.80248774739948747
"86-1",1985-02-13,0.59140892502851372,0.5752200486150485,0.33087810432869874,0.25629800808975683,0.35261749211667387,0.72684428260000533
"87-1",1985-02-14,0.034680076643756053,-0.15806730387606036,0.024985272554646804,0.27569880655355261,0.3529382233755452,0.78115315455700673
"88-1",1985-02-15,-0.24301348532915767,-0.32279795591736871,0.10419852034443151,0.24247978357185443,0.35325904443397549,0.68640785676238836
"89-1",1985-02-19,-0.27845475701839817,-0.30189389375020081,0.091139923083657537,0.22950419194060098,0.35357995500665268,0.64908711223825688
"90-1",1985-02-20,0.13932429979250927,0.12307636429503958,0.015147791448085295,0.2175303182308673,0.35390095480785183,0.61466440052125304
"91-1",1985-02-21,-0.10447502256223373,-0.20549229972892824,0.042227085247883683,0.19642566083247159,0.35422204355143533,0.55452692571897866
"92-1",1985-02-22,-0.27913486372712626,-0.33068410816577348,0.10935197939339297,0.1845347640007696,0.35454322095085339,0.52048594669463366
"93-1",1985-02-25,-0.77166289611438899,-0.78777283475197823,0.62058603917316757,0.18600395481998649,0.35486448671914422,0.52415488667142518
"94-1",1985-02-26,0.35149421074445186,0.43532053357916539,0.18950396695564925,0.26756418354262751,0.35518584056893426,0.75330757305540397
"95-1",1985-02-27,-0.31628914085084503,-0.46035669394737083,0.21192828566215324,0.26229427674565542,0.3555072822124386,0.73780282393460961
"96-1",1985-02-28,0.035192680285778266,0.02662151976697609,0.00070870531470349873,0.26180707205626619,0.35582881136146094,0.73576692976195002
"97-1",1985-03-01,1.0500621511068786,0.97017367082128558,0.94123695155484821,0.22823670411035143,0.35615042772739453,0.64084354907766361
"98-1",1985-03-04,-0.034825004705041351,-0.32063528867893548,0.10280698834622429,0.35046373617780008,0.35647213102122172,0.98314483988914148
"99-1",1985-03-05,0,-0.065681561664104188,0.0043140675426355211,0.31229141549420297,0.35679392095351464,0.87527112193957546
"100-1",1985-03-06,-0.55885580309533722,-0.6316035225151907,0.398923009653597,0.26756926887431803,0.35711579723443548,0.74925072188466391
"101-1",1985-03-07,-0.8088667276500594,-0.7682199679927586,0.59016191922279504,0.2953846708873521,0.3574377595737368,0.82639470222623856
"102-1",1985-03-08,-0.28288562004776807,-0.19151046427028939,0.036676257925021792,0.34680605929510022,0.3577598076807616,0.96938239525375725
"103-1",1985-03-11,-0.42583456825768806,-0.44118346074210357,0.19464284603237925,0.29918554817714049,0.35808194126444387,0.83552258212371466
"104-1",1985-03-12,0.071098474377873089,0.084754597904941484,0.0071833418660283118,0.28755947489721839,0.35840416003330877,0.80233297200147924
"105-1",1985-03-13,-1.1436865190946222,-1.2308604544016604,1.5150174582098619,0.24918954156916126,0.35872646369547306,0.6946505674605068
"106-1",1985-03-14,-0.25193463028534424,-0.092622959175482522,0.0085790125664231016,0.45696584945913155,0.359048851958645,1.2727121865627482
"107-1",1985-03-15,0.18001805041478747,0.15838905608371784,0.025087093087091113,0.37929163933916543,0.3593713245301251,1.0554310081225484
"108-1",1985-03-18,-0.32426618217042957,-0.4335404133276719,0.18795728998832859,0.32238327765625241,0.35969388111680645,0.89627123112378482
"109-1",1985-03-19,0.64748427645104911,0.64053169525092124,0.41028085262101904,0.30441031249557365,0.36001652142517465,0.84554539689046437
"110-1",1985-03-20,-0.035861574707407584,-0.23998690858908972,0.057593716294148105,0.32562846733405293,0.36033924516130811,0.90367194721819244
"111-1",1985-03-21,0.071710293499638311,0.0062390567794539976,3.8925829497250887e-005,0.28644284730494474,0.36066205203087909,0.79421398977794355
"112-1",1985-03-22,-0.035848718792230727,-0.12314679508558014,0.015165133139849865,0.24738340432814168,0.36098494173915285,0.68530117388359246
"113-1",1985-03-25,-0.93660627040721423,-1.0020801156532408,1.0041645581876126,0.21985223257603123,0.36130791399098899,0.60848994462245387
"114-1",1985-03-26,-0.03619909541789923,0.081095016248153101,0.0065764016602882155,0.35433038925049248,0.36163096849084125,0.97981207397470538
"115-1",1985-03-27,0.50559876574576279,0.44019601357012816,0.19377253036303246,0.30051481997081764,0.36195410494275787,0.83025669792678081
"116-1",1985-03-28,0.2159050856692879,0.040568991312201444,0.0016458430560894763,0.28873834867568499,0.36227732305038202,0.79700917033531815
"117-1",1985-03-29,0.35880913988748375,0.24225325996544664,0.058686641963886274,0.24951942160503776,0.36260062251695208,0.68813842588858876
"118-1",1985-04-01,0.39320872825250319,0.24765694152170858,0.061333960683886989,0.22845858398142743,0.36292400304530176,0.62949427997163976
"119-1",1985-04-02,-0.2142857962827982,-0.36681742178687737,0.13455502092637189,0.21275888031488391,0.3632474643378607,0.58571332549480482
"120-1",1985-04-03,-0.64562634594560464,-0.67489446631944827,0.45548254066861288,0.2122679820992289,0.36357100609665488,0.5838418865634124
"121-1",1985-04-04,-0.18008288677275885,-0.12182997459587974,0.014842542710032703,0.26239297899744635,0.36389462802330635,0.72106856982961798
"122-1",1985-04-08,-0.32496869183411548,-0.36117674391365584,0.13044864034407053,0.23152827299742745,0.36421832981903429,0.63568539538486357
"123-1",1985-04-09,0.036159826826853703,0.029349788151862205,0.00086141006455919106,0.22608145525074252,0.36454211118465474,0.62017925587813227
"124-1",1985-04-10,0.79222596557109171,0.71214124668940804,0.50714515523634429,0.20155012527196953,0.36486597182058145,0.55239496373501074
"125-1",1985-04-11,0.46520033796939586,0.2317062324875829,0.053687778173589822,0.26240390252122342,0.36518991142682555,0.71854094078336073
"126-1",1985-04-12,0.17834854022975577,0.011209477464476342,0.00012565238502660296,0.23774579551416805,0.36551392970299662,0.65044250353837862
"127-1",1985-04-15,0.17803102441256158,0.069095544748454182,0.0047741943040856341,0.21044854611923375,0.36583802634830254,0.57525060535635109
"128-1",1985-04-16,0.42598573469572187,0.31711468048893293,0.10056172058159803,0.19028421527629302,0.3661622010615499,0.51967192332970291
"129-1",1985-04-17,0.35360715770273998,0.19442492295249852,0.03780105066508499,0.1899210384540406,0.36648645354114429,0.51822116921087991
"130-1",1985-04-18,-0.070621471861720408,-0.21511775186476786,0.046275647167351837,0.17979651218558995,0.36681078348509105,0.49016146820257739
"131-1",1985-04-19,-0.1060258095435529,-0.16444409913720207,0.02704186174104594,0.17339501898678206,0.36713519059099498,0.47229201512298469
"132-1",1985-04-22,-0.35423345578378118,-0.40546803822745164,0.16440433002401819,0.16548880905493443,0.36745967455606093,0.45035910200178136
"133-1",1985-04-23,0.28348707858469879,0.28261499858349798,0.079871237424350566,0.18105913408002236,0.36778423507709451,0.49229715907227223
"134-1",1985-04-24,0.17677218674263528,0.046503601612575836,0.002162584962941166,0.17972151031198091,0.3681088718505019,0.48822922796864904
"135-1",1985-04-25,0.31740460433526962,0.20878897423078643,0.043592835760343999,0.16649920329662765,0.36843358457229031,0.45191103707311153
"136-1",1985-04-26,0.035205069893606833,-0.10194554123093948,0.01039289337686918,0.16290697598015946,0.36875837293806851,0.44177159879029793
"137-1",1985-04-29,-0.70646708521913126,-0.78635807941460567,0.61835902906062723,0.15495719394245563,0.36908323664304715,0.41984348937613758
"138-1",1985-04-30,-0.53314503395904822,-0.4625472487426856,0.21394995731942787,0.24451122933572872,0.36940817538203896,0.66189988644094622
"139-1",1985-05-01,-0.35701573087054683,-0.3215858075719894,0.10341743163172859,0.24956324767312002,0.36973318884945905,0.67498200107411088
"140-1",1985-05-02,-0.21482285382896649,-0.21513039708855042,0.046281087751477379,0.23607532602434936,0.37005827673932568,0.63794094299002579
"141-1",1985-05-03,0.46486763493769345,0.43570848607375434,0.18984188483668299,0.21677688865717351,0.37038343874525997,0.58527694810422393
"142-1",1985-05-06,-0.1428061649334289,-0.30987772068391434,0.096024201776258034,0.22459120380770439,0.37070867456048678,0.60584286049950231
"143-1",1985-05-07,0.35663375887899917,0.31286208407019156,0.097882683648743612,0.2158492412204257,0.37103398387783493,0.58175059590092781
"144-1",1985-05-08,0.071174380228811174,-0.07393601143211892,0.0054665337864904196,0.20946683841161684,0.37135936638973732,0.56405427564141153
"145-1",1985-05-09,0.77959289239846186,0.69240355543615173,0.47942268358062406,0.19006520796592144,0.37168482178823148,0.51136123087160024
"146-1",1985-05-10,1.4716453400934526,1.2407145447600172,1.5393725815790567,0.24976519981041365,0.37201034976496011,0.67139314798154892
"147-1",1985-05-13,0.20847818530773665,-0.16287331670136285,0.026527717293302441,0.46225257511007573,0.37233595001117109,1.2414932672931713
"148-1",1985-05-14,-0.13893715329800216,-0.2539860800972632,0.064508928883173403,0.38718330544127516,0.37266162221771798,1.0389674770832003
"149-1",1985-05-15,0.27768153906517767,0.233124823541909,0.054347183351446206,0.33565019779282818,0.37298736607506044,0.89989696252950702
